Row,deltaFPmat1,deltaFPmat2,deltaFPmat3,deltaFPmat4,deltaFPmat5,deltaFPmat6,deltaFPmat7,deltaFPmat8,deltaFPmat9,deltaFPmat10,deltaFPmat11,deltaFPmat12,deltaFPmat13,deltaFPmat14,deltaFPmat15,deltaFPmat16,deltaFPmat17,deltaFPmat18,deltaFPmat19,deltaFPmat20,deltaFPmat21,deltaFPmat22,deltaFPmat23
"6-deoxy-L-galactose-Ovary",-0.00646273257408311,0.00216705270540246,-2.80199205848763e-06,-0.000883247826517608,-0.00646273257408309,-0.00646273257408311,0.00769515878178845,0.00785747368025086,0.00854541721076729,0.017195469709006,0.0178555536083641,0.00810982417309963,0.00660199503335734,-2.07964322351262e-05,-0.00646273257408311,-0.0064627324820572,0.0109945651712938,0.0159539858850502,0.0109555314281152,0.00623849184996417,0.00598680777293353,0.0117352646044812,0.0153842398467778
"melatonin-Ovary",0,2.95464235788856e-05,0,0,0,0,0,9.99955451774781e-10,0,3.7514436002084e-13,7.98381027955486e-10,2.68146505000288e-09,1.40515132862618e-09,0,0,2.42745634704278e-09,1.1876793307164e-05,2.73001532491435e-09,3.54607894159642e-08,4.65222420364952e-06,0.00532544246834654,0,4.21354557755826e-06
"trans-4-hydroxy-L-proline-Pancreas",0.779180062003549,0.278344597913284,0.99999999998709,0.999999994366861,0.999997183435907,0.997841432212265,0.364194447873422,0.0992011843686175,0.0953727947202707,0.095374653643153,0.113387075366847,0.106355532848765,0.104723116089275,0.104808821976942,0.130848080310564,0.131675872562467,0.130014903596255,0.127999550544527,0.127942710235989,0.127944173028759,0.127953223750148,0.133726818038869,0.139227869232067
"acetaldehyde-Pancreas",0.122336304120798,0.138693436604996,0.122372942914869,0.101361866678764,0.129935281391453,0.132680732970369,0.13268216107091,0.13277394846753,0.140668440273701,0.141160261444651,0.141160721700494,0.1411607221858,0.14116072357423,0.141161146966764,0.141165327365956,0.141160699744683,0.141160709825233,0.141148392309045,0.141171490864927,0.141161080809632,0.141172815492093,0.141160836813782,0.141160721712403
"acetone-Pancreas",0.000412726722394592,0.0122220909466227,0.0232104763211096,0.00125833564077407,0.00110674718055046,0.001223971342289,0.0012829398889988,0.00146484871861789,0.00161976851638973,0.00176899624670723,0.00565951983882951,0.0792421076654362,0.00162007769992493,0.00162007770075789,0.00161600525043968,0.00162006077614454,0.00162333756720113,0.00159023877232013,0.00165082086640563,0.00160865934518376,0.00162438771114598,0.00161839948957953,0.00161491374965161
"acetylcholine-Pancreas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP-Pancreas",0.821559154055094,0.821572950614888,0.999762729713643,0.894018480485269,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559154055094,0.821559153438261,0.821559140663948
"aldosterone-Pancreas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"retinoate-Pancreas",0.393833163426856,0.406139923890983,0.393833473885456,0.39398484418816,0.396009445424889,0.404764115852187,0.405811593821147,0.402816576439044,0.40571720024502,0.405734539437298,0.405717237309711,0.40571723726547,0.40571723726547,0.40571723726547,0.40571723726547,0.40571723726547,0.405717255972796,0.405728723967548,0.40571723726547,0.40571723726547,0.40571723726547,0.405717312626982,0.405717193157903
"alloxan-Pancreas",0,-0.00640588497281686,-0.00643641166513043,-0.00643636606203113,-0.00643641160555242,-0.00643641166513048,-0.00643641110174226,-0.00643579607707984,-0.00643641166513043,-0.00643641166513043,-0.00643641165464781,-0.00643536211601253,-0.00643641166513043,-0.00643568491268198,-0.00643618500303111,-0.00643641159187835,-0.00643639865288692,-0.00643645408595916,-0.00643289783514855,-0.00643626824505966,-0.00643662665013045,-0.00643641882466567,-0.00643612386595521
"alpha-tocopherol-Pancreas",0.0787265339604475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arachidonate-Pancreas",0.967273720944336,0.882568067253126,0.967319661411984,0.926174108511626,0.884810128397036,0.880802890409005,0.880803484408683,0.880798526582308,0.880798448708587,0.880798269103826,0.880813063973435,0.880798192080133,0.880799079752815,0.880798674355654,0.880804036631373,0.880803743122484,0.880798564158932,0.880798895975152,0.88080143937286,0.880809325741643,0.880614075212657,0.829233761303761,0.705136635228986
"beta-alanine-Pancreas",0.335746947122666,0.278423917038071,0.334766861953861,0.248920428690593,0.675634600413879,0.282751906173971,0.240245943061031,0.313603658349621,0.290098367233578,0.290106402144752,0.290106410186865,0.290106413806674,0.290114022188984,0.290106158428883,0.290112171652459,0.290106331595913,0.289884049738761,0.284933691206718,0.296730552974187,0.264426991283464,0.264491831314643,0.285083641844957,0.282253240497337
"betaine-Pancreas",0.0258134921996719,0.0897974351903902,0.0555521395506666,0.21802654869748,0.228491805769128,0.221961205904216,0.221970640617075,0.221970627556466,0.221973937073238,0.224590303294304,0.234001330755405,0.207615815383591,0.203467194592253,0.203450268672618,0.172356077051328,0.1304364069191,0.121861574883445,0.123458306670349,0.125055365031691,0.125051187926906,0.125052346021042,0.125050832907301,0.125054752541427
"bilirubin-Pancreas",0.00101963379912016,0.0945920427756732,0.500000002499,0.500000002828296,0.50000282756752,0.500000001341352,0.499999024306849,0.49948748660573,0.422136677557522,0.0547655059352821,0.0473411584236388,0.0473335998077676,0.0473335922490152,0.0473335922414564,0.0473335922361183,0.0473335922415299,0.0473335923225312,0.0473336732729996,0.0474141622941375,0.0592738484886406,0.0613347777964609,0.0613371947774806,0.0613371972018554
"calcitriol-Pancreas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cortisol-Pancreas",0,0.012247487512409,0.00748643803589304,0.0172118155150057,0.015171388609026,0.0127000382440064,0.0127942619124724,0.0111813872425755,0.0111890547666742,0.0127404281290467,0.0130172953297325,0.0130176178490934,0.0130176948829087,0.0130176216664344,0.0130176222225558,0.0130152740648535,0.0130176133754183,0.0130176581676752,0.0130143678544794,0.0130176204352608,0.0130172252036981,0.0130182624960562,0.0130169479663463
"creatinine-Pancreas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cysteamine-Pancreas",0,1.58907188918533e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19257447250831e-08,0
"glucose-Pancreas",0.970450497939151,0.975590024677352,1,1,1,1.00000000035566,0.999999993273722,1.00000000017783,1.00000000446746,0.999999999301148,1.00000004739266,0.999985182059354,0.984905570688359,0.970450499412895,0.970450524838642,0.970451561575853,0.970452623244586,0.970456431195249,0.999903461957395,1.00000547892046,0.999999992860434,0.999996880798027,1.00000014392617
"mannose-Pancreas",0.193952613363694,0.664088247487562,0.999999951900848,0.999975926995651,0.976560972095477,0.387227883462066,0.273361090131214,0.291118506892971,0.346612420681255,0.487175114593348,0.467429985753509,0.291157755739922,0.22326847165306,0.147674559201059,0.137055889060316,0.137067726068555,0.137417587857193,0.148202894857995,0.158185392396896,0.160101749827328,0.171329772395264,0.17133391909677,0.171339370697973
"ribose-Pancreas",0.0336726607506284,0.127392557408609,0.0336725025389389,0.033593605157585,0.0242386714820353,0.0234824381292685,0.0484656293483235,0.155996617581959,0.140363201452398,0.147153276767567,0.194793308790607,0.14142498765402,0.144441553435161,0.124891168496744,0.147535536888062,0.142706680567526,0.110202114995742,0.186786194552397,0.201634354573972,0.201632102213057,0.201633058761895,0.201633724690216,0.201644668519579
"D-serine-Pancreas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"deoxyuridine-Pancreas",0.0296403883369627,0.424287399159035,0.999999978303562,0.99999697878518,0.996996854749073,0.49848687128657,0.398668196129548,0.398569773089032,0.416114884505568,0.498020320623982,0.498401042064676,0.45974394947034,0.393242283820566,0.395671856525657,0.464327684278796,0.395777483011895,0.315492852926287,0.315493542125736,0.315487477065626,0.315487583218416,0.315492865105089,0.315473536286399,0.31549292408744
