Row,Adrenal Gland,Artery,Brain,Colon,skin,Liver,Heart,Intestine,Lung,Muscle,Ovary,Pancreas,Prostate,Testis,Spleen,Thyroid Gland,Uterus
"Arginyl-Histidyl-Threonine",-0.0689534665776874,-0.0689534665776874,0.931046514100552,0.000106587395837091,0.0038448223251108,0.00217830520656344,0.00166128050377326,0.0381247543446257,0.000106600811874316,2.27442133104994e-06,-0.0689534665776874,0.000106453335050008,0.000106537111625712,2.24659049175013e-06,2.33424318918374e-06,1.77646327914616e-06,0.000106621837328971
"Arginyl-Leucyl-Phenylalanine",-0.0689537083160032,-0.0689537083160032,0.931046288559423,0.00010616006620133,0.003844228231579,0.0021782783644571,0.00166066513669269,0.0381242012523944,0.000106160640627365,6.37345065612749e-10,-0.0689537083160032,0.000106160139069125,0.000106160903767902,8.2603562323591e-08,-4.90780328599172e-08,-5.46032996595613e-10,0.000106157449929922
"Arginyl-Lysyl-Aspartate",-0.068938164275241,-0.068938164275241,0.931029719965907,0.000118096120991049,0.00385552624504032,0.00220684151556191,0.0017025713909819,0.0381635507608346,0.000124950165696622,3.57881751129607e-05,-0.068938164275241,0.000146800104698669,0.000147271282145311,2.33547887071861e-05,1.53266796862894e-05,2.15863699571939e-05,0.000145901819360014
"Arginyl-Phenylalanine-Arginine",-0.0689537164675624,-0.0689537164675624,0.931046283399164,0.000106156278713368,0.00384422347864867,0.00217827530236422,0.00166066620909532,0.038124199494204,0.000106156325000578,-2.9938274082042e-12,-0.0689537164675624,0.000106156135231808,0.000106156128662216,1.84571269379319e-09,8.18595746743256e-10,5.76664160867324e-10,0.000106156288322612
"Arginyl-Prolyl-Methionine",-0.0689536147675041,-0.0689536147675041,0.931046388017478,0.000106336279465866,0.00384440382129181,0.00217845667519562,0.00166087170767777,0.0381242924348577,0.000106235407554806,-3.23703295279643e-08,-0.0689536147675041,0.000106348592883082,0.000106272369152532,7.55706290767044e-07,-2.45734153025978e-08,5.7375885476052e-07,0.000106362120321113
"Arginyl-Prolyl-Threonine",-0.0689534530980892,-0.0689534530980892,0.931046307405548,0.000106260261260732,0.00384456987822487,0.00217832625000351,0.00166119250691996,0.0381244412483417,0.000106621111096897,1.38893945544893e-06,-0.0689534530980892,0.000106398502985383,0.000106383322516501,2.26933491864756e-06,-1.5938362121215e-06,-1.55988794436901e-07,0.000106645619105492
"Arginyl-Seryl-Serine",-0.068953219052671,-0.068953219052671,0.931046828262182,0.000107054151962396,0.00384494247054541,0.0021777680017986,0.00166159818845298,0.0381242150982372,0.000106579451448902,-5.20616025956322e-07,-0.068953219052671,0.00010642585833727,0.000107083499398156,2.34849253821778e-06,2.19452964322908e-06,1.56622851676946e-06,0.000107090442531349
"Arginyl-Valyl-Cysteine",-0.0689532864634952,-0.0689532864634952,0.931046504742394,0.000106801108967255,0.00384459444081144,0.00217841503711061,0.00166144224489131,0.0381245194085174,0.000106080983321447,2.38883433478776e-06,-0.0689532864634952,0.000106675022258446,0.000106407465198063,2.7183574092815e-06,-1.22073242014853e-06,-5.86191455376195e-08,0.000106931946685054
"Arginyl-Valyl-Tryptophan",-0.0689533074046875,-0.0689533074046875,0.931046522276582,0.000106399170034688,0.00384467322226265,0.00217911537292935,0.00166129117271029,0.0381247266639737,0.000106012964582153,-9.28621522233719e-07,-0.0689533074046875,0.000107005901716598,0.000106952621485149,4.78325756725351e-06,2.53912453695992e-06,2.64426768414872e-06,0.000107005841870997
"Argtyrval",-0.0689530696544419,-0.0689530696544419,0.931046916493279,0.000106363512422256,0.0038446900397244,0.00217829843012848,0.00166134220452584,0.0381247453177674,0.000106787378317139,1.98858664191004e-06,-0.0689530696544419,0.000106471502059988,0.000106838032649784,3.26839847275551e-06,1.97868462947781e-06,1.98439136744888e-06,0.000107053682565778
"Asparaginyl-Alanyl-Arginine",-0.0689404007373679,-0.0689404007373679,0.931072931640042,0.000126097958305024,0.00386380533208187,0.00218757306393544,0.0016771099202853,0.0381421374402247,0.000125429354233944,2.18633069555274e-05,-0.0689404007373679,0.000127498789187136,0.000125015770586531,-2.39144007829761e-06,3.5451766150163e-05,5.42057666530482e-06,0.000127332358652518
"Asparaginyl-Asparaginyl-Arginine",-0.0689532363464232,-0.0689532363464232,0.931046662181837,0.000107573402854999,0.00384582000619632,0.00217990792267313,0.00166256560604289,0.0381253330667302,0.000107905253591445,1.74164448984993e-06,-0.0689532363464232,0.000106672921076842,0.000107645769308093,5.52409464038561e-06,2.59189767803925e-06,-1.90485982898281e-06,0.000107528170976881
"Asparaginyl-Cysteinyl-Cysteine",-0.0689533477000343,-0.0689533477000343,0.931046482565927,0.000106155071731659,0.00384480398344095,0.00217919342701869,0.00166134331904495,0.0381246572226811,0.00010655313348569,-3.14976952742185e-07,-0.0689533477000343,0.000106813700798042,0.000107175405936799,4.02161358370456e-06,3.58769110841983e-06,4.7997047416537e-06,0.00010719797585948
"Asparaginyl-Methionyl-Proline",-0.0689529789871363,-0.0689529789871363,0.931047158946002,0.000106747690873127,0.003845388748592,0.00217822046090994,0.00166193782687574,0.0381246422558763,0.000106429048802051,4.81421046216735e-06,-0.0689529789871363,0.000106205120209299,0.000106770798675396,4.39527369666681e-06,-3.82372375540285e-07,-2.61338421858603e-06,0.000107326408400721
"Asparaginyl-Phenylalanyl-Aspartate",-0.0689346807616128,-0.0689346807616128,0.93108795550904,0.000146923042688984,0.0038786973352824,0.00220698005869384,0.00170427091691461,0.0381669732115539,0.000145591011395649,6.97161834192217e-05,-0.0689346807616128,0.000146933934462246,0.000148162054374582,3.06442683797314e-05,7.3594339065397e-05,3.35800688181509e-05,0.000147285737105138
"Asparaginyl-Phenylalanyl-Cysteine",-0.0689534154139732,-0.0689534154139732,0.931046419283275,0.000106547487332576,0.00384465461564482,0.00217730063550553,0.00166180858169693,0.0381243775065065,0.000106598798951987,-7.44668246843716e-07,-0.0689534154139732,0.000106143109222745,0.000107218967363321,3.24966240872193e-06,1.30955495447616e-06,2.0183904176907e-06,0.000107291268639995
"Asparaginyl-Tyrosyl-Glycine",-0.0689533428928825,-0.0689533428928825,0.931046424286602,0.000106459751720939,0.00384445444293721,0.00217839392361417,0.00166146127349459,0.0381239222410372,0.000106960600362985,2.14241202445287e-07,-0.0689533428928825,0.000106950673822798,0.000106517178204549,5.10772183626163e-06,3.60789897291269e-07,2.86518982073325e-06,0.000106405379678834
