Row,r_0039,r_0040,r_0042,r_0065,r_0079,r_0115,r_0118,r_0151,r_0152,r_0153,r_0195,r_0207,r_0208,r_0214,r_0225,r_0279,r_0468,r_0489,r_0536,r_0538,r_0563,r_0564,r_0570,r_0718,r_0727,r_0759,r_0816,r_0818,r_0821,r_0855,r_0886,r_0908,r_0909,r_0910,r_0911,r_0912,r_0914,r_0915,r_0958,r_0959,r_0962,r_0996,r_0997,r_1022,r_1051,r_1054
r_0080,0.203155678732739,0.203328731945466,0.00194545158716689,0.203059206847064,0.365051960485288,-0.0180217318682833,0.0129732766061197,0.443089944391046,0.369116961201861,0.374378438814972,0.300423047250057,-0.0219791142177689,0.0362122940738781,0.0164182191698637,0.111831505392747,0.134039664680044,0.661243451766798,0.000130827818070731,0.0770419635040593,0.00966645524156885,0.0744284089514852,0.0942303341598984,0.214857255768389,0.14732603751119,0.487617114591728,-0.0177323674788996,0.0447866341491997,0.00396970204937224,0.018766330391725,0.485366102093876,0.0168344684290364,0.349726518002971,0.0759672556334231,0.076479881055404,0.20944105896312,0.214313894412642,0.486957090109928,0.397773175421482,-0.0434612858721341,0.0843401528548099,0.012344045637216,0.202936213604593,0.203232099402427,0.00469579195896616,0.299178348385561,0.0020392087733394
r_0115,0.652276126389676,0.652495318033195,0.617107319491805,0.651965391759589,0.20633014106852,0.636739101197485,0.689656314298987,0.147218820363211,0.335841295316993,0.617447592719352,0.261843263057979,0.742151421775661,0.772555304700371,0.0100474309113725,0.714600820866394,0.660496503244965,0.217735314840007,0.477496005971065,0.815385680632734,0.711854350458595,0.758405685268588,0.610113388525676,0.154175708661329,0.784766587925805,0.216169171967571,0.636623977952123,0.732070532465522,0.809323306801997,-0.0304897161529281,0.174982930194694,0.214578841064826,0.15462655787475,0.820098743668247,0.818752001006993,0.0582618907400203,0.155597254339957,0.173615605680782,0.264258945755795,0.062719759098215,0.109241216929613,0.154436799327789,0.653381361016628,0.65443560372764,0.109969408898676,0.259020928626837,0.129884107498151
r_0118,0.647446085529553,0.647539004482916,0.613566586210058,0.647009447621754,0.197287222108558,0.641368313356803,0.694306512999818,0.141038613121167,0.326621110812805,0.608875701885747,0.256638438419983,0.753613419688527,0.77453738669783,0.0145966563256934,0.706112888482039,0.654214174768638,0.212794691989307,0.474206776330738,0.81114075686635,0.70858915889462,0.754978168760383,0.61100782347213,0.142908299743764,0.780493010432639,0.211499749285415,0.641530077692899,0.729522429861118,0.815148848572133,-0.0276089078729011,0.169146162212375,0.217961724463066,0.147528797936578,0.815706827171519,0.81446049442667,0.0555315392683741,0.144296498970183,0.16793414853456,0.257101996781887,0.0725348939733804,0.111820584134736,0.158000712601058,0.648501858308765,0.649643567890607,0.105087836891876,0.253941054863393,0.135726844743948
r_0148,0.419219212145458,0.419155201597202,0.482802971804118,0.419272436744678,0.0305214144578028,0.493879624671544,0.509250225088678,0.0321754643215924,0.093303245541611,0.197486141501266,0.0394824262130886,0.4476674109508,0.421221352386923,0.0259231560810979,0.37863819233852,0.457120103137779,0.101808093978544,0.295903682222254,0.497866456871578,0.524336425292428,0.516798285072472,0.382874027687895,0.0458443877954888,0.381296178208931,0.0678625444544112,0.491373283120495,0.359859085627939,0.51775829236797,-0.029907218806985,0.0124776775104159,0.0408826884743923,0.0438365715180173,0.499734788922532,0.500261831845508,0.0094692434729321,0.0463502766000012,0.0122627451214282,0.0859695732071826,0.00246999530180593,0.0414301907100664,0.00496743169274169,0.419729002175284,0.419062871853896,-0.0113405125418806,0.0390889135655057,-0.00524147336903129
r_0151,0.286573409415432,0.285869274619203,0.0311624282908084,0.285603583420201,0.506577015190247,0.0340475822336346,0.0586560862958275,0.773907060431114,0.607498801379296,0.434535740067577,0.427327658990143,0.00321011654402281,0.0688516574628297,0.0873331562739766,0.184409429615656,0.196236880849293,0.58856024820154,-0.00750067655700006,0.143476012276568,0.086825095387535,0.139355818501531,0.115405977529896,0.489620263911131,0.233067795080008,0.692524385615638,0.0336176771532975,0.0892351595775467,0.0292956402055618,0.160159057879383,0.663503897934635,0.0516526443857249,0.653214904907738,0.143143411655033,0.143436875462747,0.531062730031675,0.485467812530418,0.663464328223949,0.633464805582834,-0.0163259917187794,0.0934810154977953,0.0422336242560653,0.285007279065956,0.285150970817038,0.0129456995973194,0.422576794106623,0.065652486269479
r_0152,0.739671133699254,0.739251825581646,0.567917328575512,0.739047566532165,0.448544277505291,0.442687810365511,0.486981483406204,0.504337547237439,0.642487504109283,0.717863348714559,0.407162920680221,0.387791767728848,0.524466003203116,0.045711852952998,0.614120452526653,0.686055726052494,0.51358775617564,0.162929966776116,0.681986053357163,0.585281595960566,0.679864205305503,0.508525511634218,0.449663000508363,0.675037944665,0.563729672642782,0.44095114448335,0.529903949236819,0.484490609673647,0.0545161386313101,0.451572738174484,0.0158145611022096,0.497695294419704,0.681773532860182,0.682390152579183,0.295958162953466,0.450680542106671,0.449878331918668,0.619833778605768,-0.0284062749637925,-0.000175636666242438,0.00409184790651241,0.738830614127228,0.739166555597022,0.045348144883615,0.402968152340368,-0.00276981872410926
r_0153,0.739592230380724,0.73911326847764,0.566596909895095,0.738921788885725,0.447766741921372,0.442403956990067,0.48667312016901,0.505564902666852,0.643120854027611,0.71753915272047,0.407555456859911,0.387668020825506,0.524711283388628,0.0450842226465775,0.61316742728143,0.684621778154188,0.513582651722747,0.160336116503054,0.681428848319202,0.585065473261721,0.679802473917803,0.509252278560975,0.450941460014414,0.674578769274003,0.56466043868294,0.44064267107293,0.528970114807543,0.483835371930708,0.0554352240765082,0.45150021084578,0.0153231726784861,0.497912198779401,0.681017877921931,0.681728457205143,0.29679411358141,0.452031909389248,0.44980043645475,0.619944717805768,-0.0282413845162002,-0.000295604650451235,0.00388522569972207,0.738674836346266,0.739027355226254,0.0452731125692038,0.403361509300498,-0.00265918347161933
r_0195,0.220285609799168,0.220592088827571,0.0780599315529484,0.220271833042455,0.359226555164687,0.00165949278390241,0.0484033494107736,0.303537013895718,0.297844526351847,0.451576224897955,0.710407110771077,0.102915144257839,0.0697880306894574,0.00291652214846465,0.251717406095774,0.201997005642625,0.281586078505296,0.0394769445431738,0.185316167171501,0.0720302989552243,0.11062701411349,0.0917140727949644,0.145750731333294,0.231489356758672,0.320236592028124,0.00165009490224132,0.137298236149141,0.11238179070832,-0.0504750333023913,0.386277318225899,0.00866668935277133,0.249918464103627,0.18976500507534,0.188095718059697,0.113371319448154,0.143742850089536,0.388156039306988,0.325493880956929,0.0452641454351313,0.00273696227718451,0.00503831792678363,0.22031623038782,0.221220395429197,0.0172863795156464,0.710179119683,-0.0166973845635551
r_0202,0.201461171926424,0.201622828771901,0.000422595042580978,0.201352098526061,0.361209074724013,-0.0182220846981595,0.0125844078441576,0.440490735106473,0.366338441706706,0.372731914599925,0.299283680587904,-0.0217230147394462,0.0354711696434272,0.014962499362124,0.109668284804071,0.131860754568668,0.661225853368229,0.000176961336724733,0.0755827391928216,0.00838236027085133,0.0731176766949946,0.0934553598249433,0.211190019020311,0.145388691828624,0.486472694942863,-0.0179325348238931,0.0436561061803463,0.00369791061688137,0.0179657097466594,0.4837413767945,0.0173569843933323,0.346793416944684,0.074533598463076,0.0750366621520887,0.207627977928196,0.210644519976066,0.485408471759087,0.396106343168591,-0.043961051630469,0.0844487146113528,0.0126008985480779,0.20123684813697,0.201535430245682,0.00441829760137532,0.29808666964898,0.00212808670974545
r_0203,0.203336452526116,0.203504090905107,0.00142205912677761,0.203232815628746,0.364002423776005,-0.017804694621809,0.0130562198766845,0.443275140658693,0.36899189924228,0.37424000915413,0.299888187025435,-0.0217233362614188,0.0362296977719556,0.0161614686801861,0.111043121639263,0.13331392208127,0.661033361553164,0.000144212807564729,0.0767250831559284,0.00937526607820312,0.074330915391066,0.0938401617051947,0.214648059535547,0.147058285861687,0.487738702139871,-0.0175190295178297,0.0446932558790669,0.00399318151431087,0.0191505119460152,0.485251994763979,0.017107262409902,0.349675149624127,0.0756806413309741,0.0761806138806089,0.210465373312594,0.214066674909883,0.486864372500006,0.397954368987915,-0.0432614072600111,0.0845702224922646,0.0126510669488985,0.203110070845125,0.203401197574795,0.00452873939474729,0.298658232757235,0.00244094650929034
