Row,P0_05,P0_11,P0_16,P0_22,P0_30,C0_05,C0_11,C0_16,C0_22,C0_30,N0_05,N0_11,N0_16,N0_22,N0_30,L0_05,L0_11,L0_16,L0_22,L0_30,U0_05,U0_11,U0_16,U0_22,U0_30
r_0353,1.59324382854763e-06,3.6999137393692e-06,5.66430823443562e-06,7.81378820485177e-06,1.10719876327776e-05,1.50780373078572e-06,3.64902607208774e-06,5.47310110086852e-06,7.35551560495871e-06,9.18344513494188e-06,1.23521720544933e-06,3.24139346541327e-06,4.47568784319264e-06,8.32540418135229e-06,6.81129459204128e-06,1.44179114844506e-06,3.92453962433008e-06,7.22817459459704e-06,9.79650003804423e-06,1.26716600870621e-05,1.56927696097148e-06,3.43321759452534e-06,3.909233931178e-06,8.43223933900121e-06,8.27531613998654e-06
r_0361,7.49150907048513e-06,1.66174026102222e-05,2.43352535886261e-05,2.76862014692626e-05,3.44320944862471e-05,5.22370087432609e-06,1.0053342103235e-05,1.7681826440251e-05,2.43094371110258e-05,3.03901684106208e-05,3.10907309186391e-06,1.11559969587012e-05,1.50762530980422e-05,2.92366109026212e-05,2.36694742706036e-05,7.63326592469354e-06,1.86164281350492e-05,3.31425267871631e-05,3.89288615284796e-05,4.69240642059156e-05,1.08289165356602e-05,2.17070667489511e-05,2.35343906720888e-05,3.91159353322738e-05,3.7233041126359e-05
r_0362,7.37146477146781e-06,1.68125766917382e-05,2.43144257649665e-05,2.78437703154952e-05,3.44278149241846e-05,5.21103723826923e-06,1.0054880225032e-05,1.7654672608254e-05,2.42391338611644e-05,3.04814573941483e-05,3.12724860077705e-06,1.11261579851233e-05,1.50338094597787e-05,2.95647306590025e-05,2.37541411041675e-05,7.60800891735531e-06,1.85495077717271e-05,3.21836727548283e-05,3.96333652727287e-05,4.67506664749734e-05,1.0641661350221e-05,2.16791339493131e-05,2.3522251903278e-05,3.8642691611934e-05,3.82165569496592e-05
r_0363,1.80903405460129e-08,4.37708596340713e-08,7.89239406291791e-08,1.49531892837532e-07,1.87879762826717e-07,3.66438743415194e-08,9.07867516791657e-08,1.25264598887887e-07,1.87072177573702e-07,2.55935182606786e-07,3.36348948131868e-08,9.87055807081862e-08,1.24174097006175e-07,1.66530933829771e-07,1.7959832304961e-07,1.91290760346702e-08,5.47720705990033e-08,8.10019638959303e-08,1.21048392616832e-07,1.81566841008533e-07,1.47426296746844e-08,4.82446216638542e-08,7.62054984564979e-08,1.26305019901355e-07,1.65761185690905e-07
r_0364,1.80277465543275e-08,4.39106392934815e-08,7.89988967565668e-08,1.49787903055437e-07,1.87857553615524e-07,3.68915159956601e-08,9.07747402439922e-08,1.25286583229324e-07,1.87028343972586e-07,2.56055387808964e-07,3.38545951946183e-08,9.65115701441603e-08,1.24180540076247e-07,1.70580109330744e-07,1.79765695701914e-07,1.91261159949117e-08,5.47682648345111e-08,8.09561779700636e-08,1.2097526369347e-07,1.81747328073966e-07,1.47722820505944e-08,4.84315316229376e-08,7.65360176333134e-08,1.26316789921014e-07,1.64990946532598e-07
r_0366,0.00191312471769041,0.0026817481663148,0.00333757357080454,0.00459497439541018,0.00722678147017453,0.000229130061075647,0.000492874044167339,0.000725214494941099,0.00187378052538805,0.00339378008359215,0.00158819800659768,0.00383298289005013,0.00560621718168025,0.00679556267604065,0.0111253020324635,0.00257672730146309,0.00358689999785592,0.00598363401637693,0.00614473735254554,0.00673275145845429,0.00371903638272047,0.00408358881071878,0.00452670281928117,0.00658928438532084,0.00695062825648887
r_0439,0.000425732566321989,0.000888886573103932,0.00113925143271468,0.00153665221046938,0.00240770252436266,0.00102202679782783,0.0021484743588879,0.00303582160737171,0.00330604544691974,0.00175746839043298,0.000318895447422753,0.00128331715446971,0.00194227835595786,0.00230848061038723,0.0070810719020464,0.000872665266877704,0.00118400349201041,0.00191125647751142,0.00182561200247951,0.00211214392665104,0.00131706693856908,0.001421023030457,0.00135716236648092,0.00228124197883129,0.00361015339539733
r_0450,0.000942890870998813,0.00141109725337437,0.00176412391612374,0.00243696469312074,0.00391554422757123,0.000101731428373634,0.000217855585209415,0.000316937053366351,0.000906943094549847,0.00169491124957008,0.00082567077599438,0.00197341274886359,0.00285879322970077,0.00350901199606278,0.00584864266819026,0.00152290652185682,0.00196967558114278,0.00341053422185174,0.00356769602673321,0.00365109247085703,0.00196779803108645,0.00215331389004661,0.00244681191410338,0.00345705539846728,0.00363034241923293
r_0451,4.92242317164202e-05,6.2299159744247e-05,7.41610144112901e-05,0.000104470740308214,0.00037439677909899,0.000148636425680377,0.000309829335522114,0.000431241595297582,0.000436198991862238,0.000140646497760801,4.3687511181568e-05,0.00016595806867402,0.000257053804170855,0.000311790463335353,0.00115639144294986,0.000134230856329629,0.000178357200479352,0.000335365842152629,0.000308811422523205,0.000304657688588933,0.000203818123191456,0.000222505849459473,0.000214672080460083,0.000308215289971424,0.000528139349443427
r_0460,3.20754657819974e-07,6.47398435468864e-07,8.18869111457133e-07,8.6813136562473e-07,8.29733525114722e-07,2.51628255685555e-07,4.46342369476186e-07,6.04850067349819e-07,8.83145830502446e-07,6.01522382002897e-07,1.35703329226629e-07,2.22493959731053e-07,3.62293433542192e-07,5.28835346507481e-07,5.13363605479816e-07,3.2088675892604e-07,5.42197975715348e-07,6.20892185990719e-07,6.94688350729399e-07,7.00739796728397e-07,2.00029366789716e-07,2.96591889744472e-07,4.07091493116725e-07,4.68746447936707e-07,4.95263926448048e-07
