Row,P0_05,P0_11,P0_16,P0_22,P0_30,C0_05,C0_11,C0_16,C0_22,C0_30,N0_05,N0_11,N0_16,N0_22,N0_30,L0_05,L0_11,L0_16,L0_22,L0_30,U0_05,U0_11,U0_16,U0_22,U0_30
r_0514,5.24396073470366e-06,7.30288008682183e-06,8.72862392206346e-06,9.41394302459977e-06,1.11321048628456e-05,6.44913671265768e-06,8.43812415994116e-06,9.43315746234207e-06,1.00526536767494e-05,1.01317329785085e-05,4.67342340935058e-06,6.69316474583035e-06,7.2323992955248e-06,1.02874545094189e-05,7.64395874774911e-06,6.65884585854741e-06,9.31987739166886e-06,1.289078375653e-05,1.36804759252405e-05,1.46172027193997e-05,5.41080482275143e-06,7.19388031449031e-06,6.31275805134039e-06,1.08859677650956e-05,1.01375495730756e-05
r_0528,5.09681267737215e-06,7.28064172677684e-06,8.70807169957769e-06,9.4192135213118e-06,1.11459279673513e-05,6.44780653525391e-06,8.4370754850442e-06,9.42907653935567e-06,1.00569938456784e-05,1.01407513941209e-05,4.64274797180975e-06,6.69354067122196e-06,7.22704988555885e-06,1.02751300168972e-05,7.64507917920757e-06,6.6625070829243e-06,9.32201861161688e-06,1.27942991164024e-05,1.36030195592675e-05,1.46633637218379e-05,5.37157991313593e-06,7.1957366426717e-06,6.34727778839276e-06,1.0889711158603e-05,1.01483655541838e-05
r_0534,0.0200306668134907,0.0138350112295936,0.0124036279053825,0.0118198029881061,0.0140914231465424,0.00300673116087916,0.00301899302505258,0.00307373892112022,0.00510669569152435,0.00644506068308496,0.0166602570672971,0.0184835964882359,0.0193425418325533,0.0165764060517025,0.0238116283735232,0.0306405986716208,0.018830689898297,0.0230905402508225,0.0174590668797178,0.0137290129380145,0.0376486390458435,0.0214031542956064,0.0163582211058215,0.0172460735683631,0.015652381352674
r_0536,1.49142249771025e-05,1.66570937645218e-05,1.66404679810149e-05,1.53394421024252e-05,1.45554142119645e-05,1.09886057359956e-05,1.24835702535106e-05,1.29731171214191e-05,1.27805029249247e-05,1.33503369735095e-05,8.15804715441654e-06,1.04975839733595e-05,1.06196691233762e-05,1.55118606138112e-05,1.27084496374125e-05,2.43288580598066e-05,2.72035687958412e-05,3.22636657455629e-05,2.70703270462027e-05,1.99951709140676e-05,1.2858009264996e-05,1.35623694176407e-05,1.16830783388843e-05,1.70271209931779e-05,1.58640989539551e-05
r_0537,1.48572073315191e-05,1.67027360390291e-05,1.66660657279618e-05,1.52876693497933e-05,1.45646390816455e-05,1.09889781862368e-05,1.24841225519207e-05,1.29740839939629e-05,1.27805957334011e-05,1.3351575182929e-05,8.19329970071456e-06,1.0497091691814e-05,1.06221458493829e-05,1.55428740606678e-05,1.27060855884153e-05,2.43441742156977e-05,2.72157192224243e-05,3.10875316983583e-05,2.70806737149376e-05,2.00035990935623e-05,1.27683719665442e-05,1.3567241184437e-05,1.16790298307652e-05,1.70417454386311e-05,1.57235961459551e-05
r_0538,1.48504007242054e-05,1.6681274375272e-05,1.66126174621215e-05,1.53342666476046e-05,1.45490175742922e-05,1.09886603061998e-05,1.24818552408293e-05,1.29751085634342e-05,1.27822731742197e-05,1.33526473365644e-05,8.18504850350417e-06,1.04970706484517e-05,1.0621529121155e-05,1.55901932520494e-05,1.27082586379132e-05,2.43307157892434e-05,2.73075257301213e-05,3.12744024524728e-05,2.71797635190868e-05,2.00485977437226e-05,1.28909586764254e-05,1.36060023495026e-05,1.17203286511063e-05,1.69940898461059e-05,1.57724749617314e-05
r_0542,4.14135240799374e-05,4.85516715627838e-05,5.23690827806391e-05,4.95466547616214e-05,5.2274158713749e-05,4.41410776694192e-05,5.08485505682677e-05,5.21497318491825e-05,5.04347321415958e-05,4.55930988815888e-05,3.42944023325882e-05,4.28730193343192e-05,4.23646838217792e-05,5.41479795455398e-05,3.78386704173601e-05,3.87207306116325e-05,4.76839530923003e-05,6.04918597855412e-05,5.88311740845938e-05,5.82432790797947e-05,4.20990494043208e-05,4.65718384713929e-05,3.60202571968927e-05,5.56134939760348e-05,4.77721702039963e-05
r_0545,4.18238035104145e-05,4.87028681677507e-05,5.29233536652693e-05,4.9447243640628e-05,5.22004534115083e-05,4.41415786849832e-05,5.08422691206868e-05,5.21296774226311e-05,5.04240382402105e-05,4.56128146897278e-05,3.43213431209277e-05,4.28771585664854e-05,4.23680404842854e-05,5.41660967622021e-05,3.78035619632605e-05,3.87447397674173e-05,4.76587779406925e-05,6.10418285968961e-05,5.89141581700094e-05,5.8270834453587e-05,4.1807719834224e-05,4.65615236993212e-05,3.58463096070465e-05,5.55638064430065e-05,4.76860466678089e-05
r_0547,6.70882507747761e-05,7.76404958528873e-05,8.38599813279223e-05,7.93837364645466e-05,8.31175908710981e-05,6.81767356955016e-05,7.82302072592452e-05,8.02557479926623e-05,7.81089033314665e-05,7.11609809806769e-05,5.31924193510884e-05,6.61321562078798e-05,6.59170287333874e-05,8.6351510195461e-05,6.16942766078246e-05,6.50859628872641e-05,7.99789021728437e-05,0.000100902975610496,9.78747674377597e-05,9.55775043123123e-05,6.61076606789817e-05,7.35492121126353e-05,5.7536503643971e-05,8.76306114866732e-05,7.6085712991148e-05
r_0548,5.22404982645291e-05,6.1811524161022e-05,6.78980230847933e-05,6.5584709177369e-05,6.98992612385236e-05,5.42991398663454e-05,6.37981072144142e-05,6.58641070116095e-05,6.38717698457316e-05,5.99543621556396e-05,4.38135302748495e-05,5.55465622042354e-05,5.50942070046035e-05,7.26937048490637e-05,5.20401522508352e-05,5.10194245724802e-05,6.55835698293008e-05,8.48946420442945e-05,8.30127734091414e-05,8.14279389563314e-05,5.42753562912137e-05,6.17662218888451e-05,4.76156685455658e-05,7.43839003408643e-05,6.4501396244787e-05
