Row,sigMat_binned1,sigMat_binned2,sigMat_binned3,sigMat_binned4,sigMat_binned5,sigMat_binned6,sigMat_binned7,sigMat_binned8,sigMat_binned9,sigMat_binned10,sigMat_binned11,sigMat_binned12,sigMat_binned13,sigMat_binned14,sigMat_binned15,sigMat_binned16,sigMat_binned17,sigMat_binned18,sigMat_binned19,sigMat_binned20,sigMat_binned21,sigMat_binned22,sigMat_binned23,sigMat_binned24,sigMat_binned25,sigMat_binned26,sigMat_binned27,sigMat_binned28,sigMat_binned29,sigMat_binned30,sigMat_binned31,sigMat_binned32,sigMat_binned33,sigMat_binned34,sigMat_binned35,sigMat_binned36,sigMat_binned37,sigMat_binned38,sigMat_binned39,sigMat_binned40,sigMat_binned41,sigMat_binned42,sigMat_binned43
r_0723,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NaN,NaN,0,NaN,0,0,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
r_0727,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0759,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0770,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0811,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,NaN,NaN,0,0,0,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
r_0813,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0816,1,1,1,0,0,0,1,1,1,0,0,1,NaN,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0818,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
r_0820,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN
r_0821,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
r_0855,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0886,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0888,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,NaN,NaN,0,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN
r_0892,1,0,0,1,1,1,1,0,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0893,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0902,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,0,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN
r_0908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
