Row,AdrenalGland,ArteryAorta,ArteryCoronary,ArteryTibial,BrainCerebellum,BrainCortex,Breast,ColonSigmoid,ColonTransverse,GEJunction,EsophagusMucosa,EsophagusMuscle,HeartAtrial,HeartVentricle,Liver,Lung,MinorSalivary,MuscleSkeletal,NerveTibial,Ovary,Pancreas,Pituitary,Prostate,SkinUnexpo,SkinSunExpo,SmallIntestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
ACMPShc_f,0.267055258319874,-0.0185893330550682,0.0141971049778719,-0.0206107272196868,-0.0588707820621113,-0.0111639664974411,-0.00435928188677055,0.00283439535579796,0.0783434667673508,0.00125580479652294,-0.00931676690450504,1.7830530310084e-05,0.0228478069701058,-1.7830530310084e-05,0.70687310555816,0.0913723752089121,-0.00317989650959444,-0.00332588301565508,0.0191350993607304,-0.0281746151983976,0.00966914040111415,0.0106585533322156,-0.0299773499262223,-0.0588707820621113,-3.14786614063062e-05,0.238056940964626,0.10235256356712,0.0434979649839464,-0.00387812030507391,0.0739466558125224,-0.0089788394616039,-0.00415323672726428
ACMPitr_f,-1.15981228242523e-05,4.52698717259281e-05,-0.000122933565318228,-2.72961846509157e-05,2.13324946718441e-06,5.49907404672201e-05,7.29759279964881e-05,3.4093975356031e-05,3.14852625943329e-05,6.11987283872795e-05,-7.72643537715334e-05,5.08012790040313e-05,7.21899034767937e-05,-5.63419248311714e-06,0.354060313016692,-0.000170312945754425,-4.07635326948874e-05,-1.6961650446623e-05,-0.000144835106847152,1.31273955422673e-05,1.45937648443617e-05,-1.86034721927353e-06,-6.86320133180818e-06,-6.48453607158261e-05,-2.90629575101509e-05,-3.72134351495079e-05,1.86034721927353e-06,8.07798193357412e-05,-3.5404746038914e-05,4.41378075979326e-05,-0.000131832346575322,7.45975718330349e-06
ACOX22x_f*,0.0175629527870753,-0.00534892802607767,-0.0281168943334621,0.00176461047492366,0.00225177060485564,-0.000951509693471027,-0.00854485209930513,-0.00479769632535529,0.0062756817729183,-0.00666865393756502,-0.00747420830049802,-0.00475988731100953,0.018931083100045,0.036761887534208,0.950814700790207,0.0145035156415707,0.00916253454719723,-0.00711704604243611,0.00961811482206411,-0.0061651439308409,-0.0202000309175809,-0.000213154460302706,0.00369284705483585,-0.049088418053344,0.000213154460302713,0.0021114391567052,-0.0272537365811647,-0.0148567313370019,0.0420303030582483,0.0110856099448087,-0.000821927138107734,0.00630116529943067
ACTYRm_f,6.80048549361878e-06,1.2401925892247e-05,-4.39255243045444e-06,6.78117110552989e-06,-8.76363412949388e-07,-1.91079074995937e-05,-1.93040667895161e-06,1.60029548212925e-06,8.10700175635226e-06,-1.97893846397568e-05,-1.07328851178812e-05,9.61828232970419e-06,-2.01946115385709e-06,7.37669890060744e-06,2.23655369779863e-07,-1.78146760851927e-05,-1.31501642122167e-05,-1.41926253245384e-05,4.40833371762039e-06,7.0933263234263e-06,-2.23655369779863e-07,6.74543666256966e-07,-9.4871491834736e-06,-1.41886815585579e-06,9.73744472854143e-06,1.48709857272777e-06,1.74451739098913e-06,-6.46637418511009e-06,-1.20654576188928e-05,1.09427637928761e-05,1.26291863964401e-05,-8.2343076817093e-06
ADNK3_f,-9.11863815344915e-07,-0.241282466605355,3.85675061753687e-06,-0.248404423645938,3.78220285979225e-07,5.71743399668811e-06,5.14698520204249e-06,3.58743513806381e-06,4.90007479836407e-06,4.47834841144079e-06,-1.15665794575559e-05,5.98033096599337e-07,5.32530663388542e-06,-0.259103936827062,-1.12353825021394e-06,5.25807617068885e-06,-8.42435918801954e-07,-1.310638879648e-07,1.310638879648e-07,3.54888506071127e-06,-4.4513443984151e-06,2.91648989314552e-06,1.49032101637303e-06,7.48768233416186e-07,-5.66816409586224e-07,-2.7138540936722e-06,-0.151854625309815,-1.97050980379476e-05,-4.6805733422417e-07,-2.0710597812279e-06,-1.93898351685817e-06,1.48948394063098e-06
ADNK4_f,0.0632699405628251,-0.124500007553955,0.107897744137051,-0.183752903308272,0.0259355673367297,0.057159718783831,-0.0729977252474149,0.0576456879764387,0.0199202897747038,0.0641006380351838,0.0206086847151721,0.0388945675238893,0.0234554293309297,-0.153610170083611,0.107879165521931,-0.0597083341156641,-0.0212740213821183,0.0937610703355923,-0.0490874019953351,-0.0472941838383431,0.0070447227999898,0.0152426953882406,-0.00835621767297778,-0.0865248367542072,-0.0733759450111121,0.0622526970908966,-0.118764617686646,0.0426932075614475,-0.0677245499028487,-0.0189028255804701,-0.00829005900176083,-0.0070447227999898
ADPACDAc_f*,0.00779622023350038,0.0029626938483967,-0.0222860123156116,-0.0288197674159648,-0.0182525898554086,0.00758898184019013,-0.0515440718390434,-0.0029626938483967,0.0580897867223677,0.0272311369983956,-0.00751679157534937,0.122690852545073,0.780527122802304,0.839719017427404,0.126953522334857,0.00524619739200211,0.136441036023879,0.666945640552207,-0.0124902130402871,-0.0507090062136681,-0.0183300273257516,0.00625258159481604,-0.0152945115277789,-0.0176934487829799,-0.0350033732920895,0.0124422554652835,-0.0121422327479085,0.00706180153010363,0.00685788197423629,-0.0302674964707892,-0.0239802965208082,-0.0247130646525453
ADPACtx_f*,0.114564138307675,-0.00702106367666877,0.035283734896113,-0.0227123424871095,-0.0174348650144708,-0.0370398255935065,-0.025929188072935,-0.0203355646270371,0.0219973693476727,-0.00604264964549425,-0.0610731306111323,-0.000944369313172599,0.18905629426052,0.271734348954278,0.741112207084095,0.0124297336093679,0.000944369313172544,0.208858520466119,-0.0011136725962001,-0.0956824202742204,0.00408946248165354,-0.015061031450557,0.0175936482291238,0.017166344089638,0.00311943500665463,0.13563421680071,-0.0458602900613982,0.0511552610859431,-0.0300667232001159,0.0344105660639573,-0.0700250619592536,-0.0307045227925205
ADPCOACROT_f,0.00449369030759336,-0.00973461423852269,0.00145026548199061,-0.00463806680720356,-0.0453399708335403,-0.00422950168631571,0.000599003504613484,-0.0140768124809093,0.040763723859732,0.000257749569197947,-0.00307757893648716,-0.00112332766765633,0.0366627285793696,0.10792332816476,0.954626094978057,0.00288976150083455,0.00813575729015063,-0.0453399708335403,-0.000257749569197947,-0.0236967094018302,0.00193395227285405,-0.0283426450090099,-0.000944913050993694,0.00243475780710683,0.00065934923239,0.0664285145015399,-0.00452805533507715,0.0268909447602487,-0.00154587571004337,0.00221659583382058,-0.0163138728431597,-0.000439927043215896
ADPCOAPTE_f*,0.114194144988561,-0.00736133927831958,0.0340426477529884,-0.0230021677280408,-0.0179826367852284,-0.0368477212366011,-0.0258202091930531,-0.020378737625625,0.0213737205571232,-0.00608761376489156,-0.0614706183497566,-0.000910754613367315,0.191960611122742,0.274956933314118,0.743792194676209,0.0115278901004738,0.000910754613367315,0.210021352284035,-0.00134825630997487,-0.0952301409987745,0.00549108972690693,-0.0151293090521465,0.016931387388917,0.0168623753280505,0.00281251989855219,0.136376180300643,-0.0454003402056781,0.0517897042657151,-0.0299728769972989,0.0335668593273012,-0.0705001459321088,-0.0311033626769069
