"","data.gene.id.full","data.gene.id"
"17434","ENSG00000101417.11","ENSG00000101417"
"17435","ENSG00000131061.13","ENSG00000131061"
"17436","ENSG00000101421.3","ENSG00000101421"
"17437","ENSG00000125970.11","ENSG00000125970"
"17438","ENSG00000125977.6","ENSG00000125977"
"17439","ENSG00000101440.9","ENSG00000101440"
"17440","ENSG00000101444.12","ENSG00000101444"
"17441","ENSG00000078747.14","ENSG00000078747"
"17442","ENSG00000125971.16","ENSG00000125971"
"17443","ENSG00000101460.12","ENSG00000101460"
"17444","ENSG00000101464.10","ENSG00000101464"
"17445","ENSG00000198646.13","ENSG00000198646"
"17446","ENSG00000078804.12","ENSG00000078804"
"17447","ENSG00000131067.16","ENSG00000131067"
"17448","ENSG00000131069.19","ENSG00000131069"
"17449","ENSG00000100983.9","ENSG00000100983"
"17450","ENSG00000078814.15","ENSG00000078814"
"17451","ENSG00000100991.11","ENSG00000100991"
"17452","ENSG00000088298.12","ENSG00000088298"
"17453","ENSG00000101000.5","ENSG00000101000"
"17454","ENSG00000126005.16","ENSG00000126005"
"17455","ENSG00000125966.9","ENSG00000125966"
"17456","ENSG00000242372.6","ENSG00000242372"
"17457","ENSG00000125998.7","ENSG00000125998"
"17458","ENSG00000101019.21","ENSG00000101019"
"17459","ENSG00000204183.1","ENSG00000204183"
"17460","ENSG00000125965.8","ENSG00000125965"
"17461","ENSG00000126001.15","ENSG00000126001"
"17462","ENSG00000125975.13","ENSG00000125975"
"17463","ENSG00000125991.19","ENSG00000125991"
"17464","ENSG00000061656.9","ENSG00000061656"
"17465","ENSG00000214078.12","ENSG00000214078"
"17466","ENSG00000244462.7","ENSG00000244462"
"17467","ENSG00000244005.12","ENSG00000244005"
"17468","ENSG00000125995.15","ENSG00000125995"
"17469","ENSG00000131051.22","ENSG00000131051"
"17470","ENSG00000025293.16","ENSG00000025293"
"17471","ENSG00000171222.10","ENSG00000171222"
"17472","ENSG00000149646.12","ENSG00000149646"
"17473","ENSG00000088367.21","ENSG00000088367"
"17474","ENSG00000131043.11","ENSG00000131043"
"17475","ENSG00000080845.17","ENSG00000080845"
"17476","ENSG00000101335.9","ENSG00000101335"
"17477","ENSG00000118707.9","ENSG00000118707"
"17478","ENSG00000101084.17","ENSG00000101084"
"17479","ENSG00000101082.13","ENSG00000101082"
"17480","ENSG00000101079.20","ENSG00000101079"
"17481","ENSG00000149636.15","ENSG00000149636"
"17482","ENSG00000149639.14","ENSG00000149639"
"17483","ENSG00000101342.9","ENSG00000101342"
"17484","ENSG00000101347.8","ENSG00000101347"
"17485","ENSG00000080839.11","ENSG00000080839"
"17486","ENSG00000101353.14","ENSG00000101353"
"17487","ENSG00000118705.16","ENSG00000118705"
"17488","ENSG00000118702.9","ENSG00000118702"
"17489","ENSG00000101363.12","ENSG00000101363"
"17490","ENSG00000197122.11","ENSG00000197122"
"17491","ENSG00000166619.12","ENSG00000166619"
"17492","ENSG00000053438.8","ENSG00000053438"
"17493","ENSG00000132792.18","ENSG00000132792"
"17494","ENSG00000132821.11","ENSG00000132821"
"17495","ENSG00000101407.12","ENSG00000101407"
"17496","ENSG00000101413.11","ENSG00000101413"
"17497","ENSG00000198959.11","ENSG00000198959"
"17498","ENSG00000149633.11","ENSG00000149633"
"17499","ENSG00000101425.12","ENSG00000101425"
"17500","ENSG00000129988.5","ENSG00000129988"
"17501","ENSG00000170471.14","ENSG00000170471"
"17502","ENSG00000182035.11","ENSG00000182035"
"17503","ENSG00000124143.10","ENSG00000124143"
"17504","ENSG00000101438.3","ENSG00000101438"
"17505","ENSG00000101442.9","ENSG00000101442"
"17506","ENSG00000101445.9","ENSG00000101445"
"17507","ENSG00000101447.14","ENSG00000101447"
"17508","ENSG00000101452.14","ENSG00000101452"
"17509","ENSG00000204103.3","ENSG00000204103"
"17510","ENSG00000198900.5","ENSG00000198900"
"17511","ENSG00000124181.14","ENSG00000124181"
"17512","ENSG00000174306.21","ENSG00000174306"
"17513","ENSG00000132793.11","ENSG00000132793"
"17514","ENSG00000183798.4","ENSG00000183798"
"17515","ENSG00000124177.14","ENSG00000124177"
"17516","ENSG00000196090.12","ENSG00000196090"
"17517","ENSG00000124193.14","ENSG00000124193"
"17518","ENSG00000185513.14","ENSG00000185513"
"17519","ENSG00000101049.14","ENSG00000101049"
"17520","ENSG00000101052.12","ENSG00000101052"
"17521","ENSG00000101057.15","ENSG00000101057"
"17522","ENSG00000124196.5","ENSG00000124196"
"17523","ENSG00000124191.17","ENSG00000124191"
"17524","ENSG00000149596.6","ENSG00000149596"
"17525","ENSG00000132823.10","ENSG00000132823"
"17526","ENSG00000124194.16","ENSG00000124194"
"17527","ENSG00000197296.5","ENSG00000197296"
"17528","ENSG00000101074.3","ENSG00000101074"
"17529","ENSG00000101076.16","ENSG00000101076"
"17530","ENSG00000124120.10","ENSG00000124120"
"17531","ENSG00000132824.13","ENSG00000132824"
"17532","ENSG00000168734.13","ENSG00000168734"
"17533","ENSG00000196839.12","ENSG00000196839"
"17534","ENSG00000064205.10","ENSG00000064205"
"17535","ENSG00000124249.6","ENSG00000124249"
"17536","ENSG00000101098.12","ENSG00000101098"
"17537","ENSG00000166913.12","ENSG00000166913"
"17538","ENSG00000101104.12","ENSG00000101104"
"17539","ENSG00000025772.7","ENSG00000025772"
"17540","ENSG00000101109.11","ENSG00000101109"
"17541","ENSG00000124134.8","ENSG00000124134"
"17542","ENSG00000175121.11","ENSG00000175121"
