Metabolite,Model_Metabolite_ID,Conversion_to_Absolute,P0_05,P0_11,P0_16,P0_22,P0_30,C0_05,C0_11,C0_16,C0_22,C0_30,N0_05,N0_11,N0_16,N0_22,N0_30,L0_05,L0_11,L0_16,L0_22,L0_30,U0_05,U0_11,U0_16,U0_22,U0_30
"farnesyl diphosphate","farnesyl diphosphate [cytoplasm]",NaN,0.0118407074185963,0.419920083022591,0.4928761556173,0.755318990706588,0.604745084176149,0.657630965336693,1.41654447940546,1.92097402621297,1.10184121015844,2.76700328275696,3.03358044816766,4.80086245701143,4.38182912502933,4.05905325898488,3.61061990660018,4.70443914345598,4.06855964012053,2.89042427386227,2.08419425780544,1.50046163786928,0.22065669745413,-0.0777401357084386,0.811229777901179,1.18761752015949,1.26332857744478
"FMN","FMN [cytoplasm]",NaN,-0.071020432348687,0.225659381335003,0.339793248389062,0.432801327815441,0.357254952759257,0.694364548951952,0.705730505573633,0.748035788322379,0.737640187836224,0.652535411251512,-0.196776527883232,0.0452726933297115,0.074662979529337,0.0742450456676813,0.0677311075895242,0.698262121658676,0.730675569196333,0.715234839720522,0.747319625708084,0.668413466292712,1.79089447039326,1.7140524048114,1.7840312613053,1.56731630295743,1.29411055907869
"fumarate","fumarate [cytoplasm]",0.00011860257364692,0.141186378315662,0.295801843530692,0.304349277657266,0.455530564298329,0.478429351102487,-0.123846680051702,0.141843818893724,0.284764203293028,0.220865827537331,0.465971808683687,3.02556307494287,2.47805221525899,3.00847897637501,2.93105004923778,2.69779813168581,1.74606571734386,1.36458109731269,0.457434889176969,-0.0259434066815173,-0.0952679893678722,-0.182143971517864,-0.242543042277737,-0.030871152167433,0.272792261652278,0.451150256039336
"glutathione","glutathione [cytoplasm]",0.00579347237539403,0.0676468530195422,0.0580207910845168,-0.105704627892772,-0.562513918480303,-1.05121616384167,-0.200543665556768,-0.452154642535249,-0.564019138201055,-0.482024812801601,-1.50052547247035,-1.1485512802273,-1.53159615707128,-1.29065275941845,-1.28593490850198,-1.50955260825431,0.117904105354,-0.247419827393841,-0.562964839087278,-0.881462651160661,-1.26048171542312,-0.659277058384898,-1.05332954145323,-1.16359773174227,-1.44087832229338,-1.63004708273467
"glutathione disulfide","glutathione disulfide [cytoplasm]",0.00154062623257997,0.198324566383104,0.0928438186071255,-0.23795155298584,-1.00328775092715,-1.77651409407476,-0.493249741513109,-0.981929336708314,-1.19039418567021,-0.890443238966309,-2.74869236936419,-0.739055389230102,-2.19885481083674,-1.2156300644113,-1.0618466750701,-1.37044512858302,0.312546595902343,-0.365206152447467,-1.2236498808298,-1.88577453714646,-2.47341136413466,-0.586971235381908,-1.19695413212378,-1.48053316612904,-1.86005010774001,-2.12827964628932
"glyceraldehyde 3-phosphate","glyceraldehyde 3-phosphate [cytoplasm]",NaN,-0.100983942660465,0.979224170882335,1.58248620264222,2.72119443634109,3.00610908552262,0.0874551209050826,0.508166180639548,0.756810459094884,1.11590614808258,1.85042216943003,1.84667879449433,2.2396917809343,2.32629432693151,2.6791076659032,2.52267165757507,2.77658523101565,3.18560588978389,3.1363078721108,3.22214324538938,3.39033415078421,2.05042409109499,2.09077652240066,2.52472700604285,2.6705410210565,2.59204992365125
"GMP","GMP [cytoplasm]",3.46597550110743e-07,-0.0415628462090602,-0.240655790660854,-0.362319099922078,-0.649688016898744,-0.777070369315182,-0.209970641839017,-0.0472601355147238,0.0209212055236413,-0.41904911116845,-0.00563103606955773,-1.02507790183809,0.0329571529354154,-0.686603240496448,-1.10602201806982,-1.23731314619061,-0.238312715442715,-0.448282227770954,-0.444715489292932,-0.519900742434129,-0.681669811818469,-0.86031920641244,-0.954166546729794,-0.851073684459305,-0.938205068081918,-1.00426769359735
"GTP","GTP [cytoplasm]",2.48197452404834e-05,-0.10657752459124,0.602777611260788,0.901752532440155,1.34266475378,1.50213986384767,1.08122775989001,1.45640123977815,1.68274401808193,1.51024359083431,2.17191199995409,0.746100856149349,1.50449311121363,1.36041060296882,1.43364082011961,1.40137390613153,1.04060143068758,1.14452602335502,1.29582721191036,1.46366881236031,1.54720189972845,0.554082047847923,0.748384544635039,1.12117312747394,1.34915618531977,1.45191137572877
"guanine","guanine [cytoplasm]",NaN,-0.0279657250030513,-1.43145479326693,-2.0702213285442,-3.12748492952246,-3.38286753547992,-1.53366056271484,-1.50690918246855,-1.52024256824426,-2.4837491432677,-1.44989564309588,-3.63254659666349,-1.45525255015724,-3.19256471735505,-3.92211285679732,-3.90947117623502,-2.12143450269931,-2.47147929986852,-2.13135820499384,-2.25049091981414,-2.64444562861975,-3.74021202534951,-3.8785077393943,-3.9286407095612,-4.00356791161145,-3.90115308449014
"guanosine","guanosine [cytoplasm]",NaN,0.0672351344979219,-1.9845111506366,-2.92982578119724,-4.51171033762098,-5.06587362585475,-4.10228210929333,-4.28051076982814,-4.46872485806997,-5.28679342426631,-4.73532358663304,-5.6504826318069,-3.69976165598852,-5.71096194060863,-6.75486647821679,-6.92422720575097,-3.77091643865316,-4.33776461818081,-4.22834573257814,-4.56501875648296,-5.09066038727315,-4.82993468657219,-5.26499735049389,-5.73237652654669,-6.21909224368504,-6.40488188684206
"hypoxanthine","hypoxanthine [cytoplasm]",NaN,-0.0564957935352321,-0.804069036721849,-1.10369167619928,-1.67718648288309,-1.76608560269987,-0.54919146354765,-0.460291021452054,-0.482352258474936,-1.15594946366317,-0.592756167142049,-2.10286811038395,-0.571374967400496,-1.91409208596403,-2.63999093079254,-2.7197096371947,-1.41831501574442,-1.60462058251435,-1.29224516557811,-1.26608412476045,-1.39178101381458,-2.17106492835927,-2.25189326300588,-2.25903745302043,-2.38944810397009,-2.38910187491266
"inosine","inosine [cytoplasm]",0.000422763260908606,0.207401203515342,-2.11084170343639,-3.45351731721577,-5.64649053331362,-6.71941953444178,-8.49357153727747,-8.96155441890655,-9.17558545937281,-9.28261809234902,-8.99042164716943,-9.76460161224483,-8.7172516161457,-9.77951354987307,-9.8414189430899,-9.81311883857137,-6.71066048433121,-7.39266930363726,-7.43119533241322,-7.88648718624918,-8.7102670331448,-5.81022356587119,-6.22795553137455,-7.28860942031473,-7.92056647120132,-8.25565734522751
