"","geneID","popMean","popSD"
"74","ENSG00000235169.7",1.84272816746343,1.33427514264984
"75","ENSG00000130764.9",5.00752272546937,0.267848422739798
"76","ENSG00000116198.12",3.65567141653125,0.287675795653693
"77","ENSG00000169598.15",2.43855538925949,0.703069785677372
"78","ENSG00000198912.10",4.3289010989011,0.373513024176616
"79","ENSG00000196581.10",-2.30658756174679,1.43439407504306
"80","ENSG00000131697.17",2.25719858403396,0.522941044226774
"81","ENSG00000069424.14",2.65497998645398,0.717492844145355
"82","ENSG00000116254.17",-1.65246557764471,1.42551729193597
"83","ENSG00000116251.9",7.39844420666573,0.436267098840338
"84","ENSG00000158286.12",3.49441457567564,1.16390067507761
"85","ENSG00000116237.15",5.28458062483867,0.50063995356351
"86","ENSG00000173673.7",-7.50365179627365,1.15823364440396
"87","ENSG00000158292.6",3.19868131868132,1.35472409809477
"88","ENSG00000097021.19",4.31564140944715,1.01272509087356
"89","ENSG00000069812.11",-4.65532801785625,2.23607609464973
"90","ENSG00000187017.15",-1.23600809859195,2.94728450329801
"91","ENSG00000215788.9",3.3620061557448,1.2587900057106
"92","ENSG00000171680.21",3.34084155323746,0.951395586873099
